,AAPL,PETS,STMP,VZ,SO,T,FXY,FXB,FXF,VCLT
2016-09-20,107.93512725830078,18.139497756958008,87.83000183105469,43.824676513671875,44.6450080871582,32.955047607421875,94.9000015258789,126.86000061035156,97.83999633789062,81.67234802246094
2016-09-21,107.9161148071289,18.424591064453125,90.16000366210938,44.3375358581543,45.53550720214844,33.45811080932617,96.12999725341797,127.41999816894531,98.33000183105469,82.19383239746094
2016-09-22,108.93304443359375,18.620601654052734,94.4000015258789,44.747833251953125,45.79238510131836,33.90345764160156,95.79000091552734,127.69999694824219,98.77999877929688,82.90653228759766
2016-09-23,107.11780548095703,18.522600173950195,94.31999969482422,44.92734146118164,45.8351936340332,34.04365158081055,95.54000091552734,126.62999725341797,98.77999877929688,82.6805191040039
2016-09-26,107.27936553955078,18.273134231567383,94.23999786376953,44.57687759399414,45.64682388305664,33.92819595336914,96.33999633789062,126.72000122070312,98.83000183105469,82.90653228759766
2016-09-27,107.47894287109375,18.184038162231445,94.91999816894531,44.86750030517578,45.244384765625,34.19209289550781,96.20999908447266,127.11000061035156,98.62999725341797,83.2889633178711
2016-09-28,108.29627990722656,18.273134231567383,94.88999938964844,44.49995803833008,45.124507904052734,33.68903350830078,95.93000030517578,127.13999938964844,98.58000183105469,83.45406341552734
2016-09-29,106.6141128540039,18.023670196533203,93.55000305175781,44.55122756958008,44.56794357299805,33.59006881713867,95.55999755859375,126.66000366210938,99.08999633789062,83.41931915283203
2016-09-30,107.44093322753906,18.068220138549805,94.51000213623047,44.43156814575195,43.92576217651367,33.49110412597656,95.20999908447266,126.5999984741211,98.52999877929688,83.17594146728516
2016-10-03,106.93721008300781,18.317684173583984,95.18000030517578,44.34609603881836,43.42913055419922,33.623050689697266,95.0199966430664,125.45999908447266,98.33000183105469,82.79833221435547
2016-10-04,107.3934097290039,18.228586196899414,95.56999969482422,43.81612777709961,42.675628662109375,32.905574798583984,93.86000061035156,124.31999969482422,97.72000122070312,82.1442642211914
2016-10-05,107.44093322753906,18.228586196899414,95.52999877929688,43.45951461791992,42.4016227722168,32.688533782958984,93.23999786376953,124.48999786376953,98.2300033569336,82.19659423828125
2016-10-06,108.23925018310547,18.059307098388672,95.5199966430664,43.45085906982422,42.32456588745117,32.646793365478516,92.76000213623047,123.2300033569336,97.58000183105469,82.10063171386719
2016-10-07,108.40081787109375,18.415687561035156,94.3499984741211,43.15693283081055,42.09337615966797,32.44645690917969,93.79000091552734,121.52999877929688,97.87999725341797,82.32737731933594
2016-10-10,110.29208374023438,18.593875885009766,95.62000274658203,43.390350341796875,42.59856414794922,32.56332778930664,93.12000274658203,120.72000122070312,97.38999938964844,82.31865692138672
2016-10-11,110.52969360351562,18.10385513305664,93.9000015258789,43.13964080810547,42.30743408203125,32.63844299316406,93.33999633789062,118.47000122070312,96.83000183105469,81.95237731933594
2016-10-12,111.51807403564453,18.157310485839844,94.69000244140625,43.485443115234375,42.83831787109375,32.830440521240234,92.58000183105469,119.23999786376953,96.7300033569336,82.02216339111328
2016-10-13,111.17594146728516,18.255313873291016,93.2300033569336,43.476806640625,43.46337890625,32.863826751708984,93.19999694824219,119.56999969482422,96.98999786376953,82.51925659179688
2016-10-14,111.79368591308594,18.380050659179688,93.87000274658203,43.46815872192383,43.29212951660156,32.738624572753906,92.5999984741211,118.88999938964844,96.58999633789062,81.76922607421875
2016-10-17,111.71765899658203,18.397865295410156,91.80000305175781,43.59782409667969,43.4034423828125,32.78034973144531,92.91999816894531,119.06999969482422,96.77999877929688,81.9698486328125
2016-10-18,111.64163208007812,18.576053619384766,91.43000030517578,43.45951461791992,43.745941162109375,32.85548782348633,92.94000244140625,120.05999755859375,96.68000030517578,82.33612823486328
2016-10-19,111.30900573730469,18.620601654052734,91.04000091552734,43.554603576660156,43.437686920166016,32.87217330932617,93.36000061035156,119.87999725341797,96.69000244140625,82.49308013916016
2016-10-20,111.25196838378906,18.433504104614258,89.9000015258789,42.48259353637695,43.42913055419922,32.2628173828125,92.87999725341797,119.6500015258789,96.3499984741211,82.75475311279297
2016-10-21,110.81480407714844,18.433504104614258,92.19000244140625,41.669952392578125,43.26643753051758,31.294513702392578,92.95999908447266,119.3499984741211,96.25,82.89425659179688
2016-10-24,111.81271362304688,17.63166046142578,95.69000244140625,41.67859649658203,43.540443420410156,30.76862335205078,92.63999938964844,119.33999633789062,96.27999877929688,82.53670501708984
2016-10-25,112.38291931152344,17.845483779907227,93.27999877929688,41.35871505737305,43.643192291259766,30.63505744934082,92.62999725341797,118.9800033569336,96.22000122070312,82.42330169677734
2016-10-26,109.85490417480469,17.498018264770508,91.2699966430664,41.17716979980469,43.643192291259766,30.40968894958496,92.36000061035156,119.41000366210938,96.23999786376953,81.86518096923828
2016-10-27,108.79998016357422,17.676204681396484,90.1500015258789,41.96389389038086,43.46337890625,30.48481559753418,91.69999694824219,118.83000183105469,96.23999786376953,81.07151794433594
2016-10-28,108.07769775390625,17.70293426513672,94.2699966430664,41.67859649658203,43.41200256347656,30.476459503173828,92.19999694824219,119.05000305175781,96.94999694824219,80.72272491455078
2016-10-31,107.90660858154297,17.70293426513672,97.55000305175781,41.583492279052734,44.15694808959961,30.710195541381836,92.02999877929688,119.5,96.6500015258789,81.10641479492188
2016-11-01,105.95832824707031,17.293102264404297,96.9000015258789,41.20310974121094,43.223628997802734,30.518203735351562,92.77999877929688,119.44000244140625,98.0199966430664,80.94279479980469
2016-11-02,106.05335998535156,17.40001678466797,94.30000305175781,40.580657958984375,42.975303649902344,30.359600067138672,93.38999938964844,119.9800033569336,98.18000030517578,80.9515609741211
2016-11-03,104.9166259765625,17.525972366333008,94.94999694824219,40.5201301574707,43.14656448364258,30.576637268066406,93.7300033569336,121.66999816894531,98.18000030517578,80.61026763916016
2016-11-04,103.97088623046875,17.400014877319336,101.25,40.70167922973633,42.906822204589844,30.468120574951172,93.69999694824219,122.19000244140625,98.69000244140625,81.0040512084961
2016-11-07,105.47066497802734,17.34603500366211,100.30000305175781,41.030208587646484,43.343505859375,30.72688865661621,92.37000274658203,121.11000061035156,98.13999938964844,81.05657196044922
2016-11-08,106.09158325195312,17.36402702331543,100.55000305175781,41.19446563720703,43.46337890625,30.877145767211914,91.79000091552734,120.76000213623047,97.70999908447266,80.81153106689453
2016-11-09,105.91963958740234,17.867855072021484,103.93000030517578,41.376014709472656,42.144752502441406,31.252777099609375,91.12999725341797,121.2699966430664,97.1500015258789,78.57138061523438
2016-11-10,102.96788024902344,18.596601486206055,100.25,40.364524841308594,41.02305603027344,30.526548385620117,90.2699966430664,122.44999694824219,96.81999969482422,78.7901382446289
2016-11-11,103.57925415039062,19.15441131591797,104.8499984741211,40.364524841308594,40.9117431640625,30.476459503173828,90.37000274658203,122.98999786376953,96.68000030517578,77.74884033203125
2016-11-14,100.98091888427734,19.793193817138672,103.9000015258789,39.92361831665039,40.78330612182617,30.159265518188477,89.01000213623047,121.93000030517578,95.7300033569336,77.22380828857422
